,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,West Indies,South Africa,6 wickets,Centurion,"Jan 20, 2008",ODI # 2661
1,Pakistan,Zimbabwe,Pakistan,104 runs,Karachi,"Jan 21, 2008",ODI # 2662
2,Pakistan,Zimbabwe,Pakistan,5 wickets,Hyderabad (Sind),"Jan 24, 2008",ODI # 2663
3,South Africa,West Indies,South Africa,86 runs,Cape Town,"Jan 25, 2008",ODI # 2664
4,Pakistan,Zimbabwe,Pakistan,37 runs,Multan,"Jan 27, 2008",ODI # 2665
5,South Africa,West Indies,South Africa,7 wickets,Port Elizabeth,"Jan 27, 2008",ODI # 2666
6,Pakistan,Zimbabwe,Pakistan,7 wickets,Faisalabad,"Jan 30, 2008",ODI # 2667
7,South Africa,West Indies,South Africa,5 wickets,Durban,"Feb 1, 2008",ODI # 2668
8,Pakistan,Zimbabwe,Pakistan,7 wickets,Sheikhupura,"Feb 2, 2008",ODI # 2669
9,Australia,India,no result,,Brisbane,"Feb 3, 2008",ODI # 2670
10,South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Feb 3, 2008",ODI # 2671
11,India,Sri Lanka,no result,,Brisbane,"Feb 5, 2008",ODI # 2672
12,Australia,Sri Lanka,Australia,128 runs,Sydney,"Feb 8, 2008",ODI # 2673
13,New Zealand,England,New Zealand,6 wickets,Wellington,"Feb 9, 2008",ODI # 2674
14,Australia,India,India,5 wickets,Melbourne,"Feb 10, 2008",ODI # 2675
15,India,Sri Lanka,Sri Lanka,8 wickets,Canberra,"Feb 12, 2008",ODI # 2676
16,New Zealand,England,New Zealand,10 wickets,Hamilton,"Feb 12, 2008",ODI # 2677
17,New Zealand,England,England,6 wickets,Auckland,"Feb 15, 2008",ODI # 2678
18,Australia,Sri Lanka,Australia,63 runs,Perth,"Feb 15, 2008",ODI # 2679
19,Australia,India,Australia,50 runs,Adelaide,"Feb 17, 2008",ODI # 2680
20,India,Sri Lanka,India,2 wickets,Adelaide,"Feb 19, 2008",ODI # 2681
21,New Zealand,England,tied,,Napier,"Feb 20, 2008",ODI # 2682
22,Australia,Sri Lanka,Australia,24 runs,Melbourne,"Feb 22, 2008",ODI # 2683
23,New Zealand,England,New Zealand,34 runs,Christchurch,"Feb 23, 2008",ODI # 2684
24,Australia,India,Australia,18 runs,Sydney,"Feb 24, 2008",ODI # 2685
25,India,Sri Lanka,India,7 wickets,Hobart,"Feb 26, 2008",ODI # 2686
26,Australia,Sri Lanka,Sri Lanka,13 runs,Melbourne,"Feb 29, 2008",ODI # 2687
27,Australia,India,India,6 wickets,Sydney,"Mar 2, 2008",ODI # 2688
28,Australia,India,India,9 runs,Brisbane,"Mar 4, 2008",ODI # 2689
29,Bangladesh,South Africa,South Africa,9 wickets,Chittagong,"Mar 9, 2008",ODI # 2690
30,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,"Mar 12, 2008",ODI # 2691
31,Bangladesh,South Africa,South Africa,7 wickets,Dhaka,"Mar 14, 2008",ODI # 2692
32,Bangladesh,Ireland,Bangladesh,8 wickets,Dhaka,"Mar 18, 2008",ODI # 2693
33,Bangladesh,Ireland,Bangladesh,84 runs,Dhaka,"Mar 20, 2008",ODI # 2694
34,Bangladesh,Ireland,Bangladesh,79 runs,Dhaka,"Mar 22, 2008",ODI # 2695
35,Pakistan,Bangladesh,Pakistan,152 runs,Lahore,"Apr 8, 2008",ODI # 2696
36,West Indies,Sri Lanka,West Indies,1 wicket,Port of Spain,"Apr 10, 2008",ODI # 2697
37,Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,"Apr 11, 2008",ODI # 2698
38,West Indies,Sri Lanka,West Indies,7 wickets,Port of Spain,"Apr 12, 2008",ODI # 2699
39,Pakistan,Bangladesh,Pakistan,23 runs,Lahore,"Apr 13, 2008",ODI # 2700
40,West Indies,Sri Lanka,no result,,Gros Islet,"Apr 15, 2008",ODI # 2701
41,Pakistan,Bangladesh,Pakistan,7 wickets,Multan,"Apr 16, 2008",ODI # 2702
42,Pakistan,Bangladesh,Pakistan,150 runs,Karachi,"Apr 19, 2008",ODI # 2703
43,Bangladesh,Pakistan,Pakistan,70 runs,Dhaka,"Jun 8, 2008",ODI # 2704
44,India,Pakistan,India,140 runs,Dhaka,"Jun 10, 2008",ODI # 2705
45,Bangladesh,India,India,7 wickets,Dhaka,"Jun 12, 2008",ODI # 2706
46,India,Pakistan,Pakistan,25 runs,Dhaka,"Jun 14, 2008",ODI # 2707
47,England,New Zealand,England,114 runs,Chester-le-Street,"Jun 15, 2008",ODI # 2708
48,England,New Zealand,no result,,Birmingham,"Jun 18, 2008",ODI # 2709
49,England,New Zealand,New Zealand,22 runs,Bristol,"Jun 21, 2008",ODI # 2710
50,Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,"Jun 24, 2008",ODI # 2711
51,Pakistan,Hong Kong,Pakistan,155 runs,Karachi,"Jun 24, 2008",ODI # 2712
52,West Indies,Australia,Australia,84 runs,Kingstown,"Jun 24, 2008",ODI # 2713
53,Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,"Jun 25, 2008",ODI # 2715
54,Hong Kong,India,India,256 runs,Karachi,"Jun 25, 2008",ODI # 2716
55,England,New Zealand,New Zealand,1 wicket,The Oval,"Jun 25, 2008",ODI # 2714
56,Pakistan,India,India,6 wickets,Karachi,"Jun 26, 2008",ODI # 2717
57,Sri Lanka,U.A.E.,Sri Lanka,142 runs,Lahore,"Jun 26, 2008",ODI # 2718
58,West Indies,Australia,Australia,63 runs,St George's,"Jun 27, 2008",ODI # 2719
59,England,New Zealand,New Zealand,51 runs,Lord's,"Jun 28, 2008",ODI # 2720
60,Bangladesh,India,India,7 wickets,Karachi,"Jun 28, 2008",ODI # 2721
61,Canada,Bermuda,Bermuda,3 wickets,King City (NW),"Jun 28, 2008",ODI # 2722
62,Pakistan,Sri Lanka,Sri Lanka,64 runs,Karachi,"Jun 29, 2008",ODI # 2723
63,West Indies,Australia,Australia,7 wickets,St George's,"Jun 29, 2008",ODI # 2724
64,Canada,Bermuda,Bermuda,11 runs,King City (NW),"Jun 29, 2008",ODI # 2725
65,Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi,"Jun 30, 2008",ODI # 2726
66,Ireland,New Zealand,New Zealand,290 runs,Aberdeen,"Jul 1, 2008",ODI # 2727
67,Canada,Bermuda,Canada,77 runs,King City (NW),"Jul 1, 2008",ODI # 2728
68,Scotland,Ireland,Scotland,5 wickets,Aberdeen,"Jul 2, 2008",ODI # 2729
69,Pakistan,India,Pakistan,8 wickets,Karachi,"Jul 2, 2008",ODI # 2730
70,Scotland,New Zealand,New Zealand,8 wickets,Aberdeen,"Jul 3, 2008",ODI # 2731
71,India,Sri Lanka,India,6 wickets,Karachi,"Jul 3, 2008",ODI # 2732
72,Pakistan,Bangladesh,Pakistan,10 wickets,Karachi,"Jul 4, 2008",ODI # 2733
73,West Indies,Australia,Australia,1 run,Basseterre,"Jul 4, 2008",ODI # 2734
74,India,Sri Lanka,Sri Lanka,100 runs,Karachi,"Jul 6, 2008",ODI # 2735
75,West Indies,Australia,Australia,169 runs,Basseterre,"Jul 6, 2008",ODI # 2736
76,Ireland,Netherlands,Ireland,7 wickets,Dublin,"Jul 28, 2008",ODI # 2737
77,Netherlands,Scotland,Scotland,6 wickets,Dublin,"Jul 29, 2008",ODI # 2738
78,Ireland,Scotland,Ireland,7 wickets,Dublin,"Jul 31, 2008",ODI # 2739
79,Netherlands,Bermuda,Netherlands,6 wickets,Amstelveen,"Aug 8, 2008",ODI # 2740
80,Scotland,Kenya,no result,,Ayr,"Aug 12, 2008",ODI # 2741
81,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 18, 2008",ODI # 2742
82,Scotland,England,no result,,Edinburgh,"Aug 18, 2008",ODI # 2743
83,Canada,Bermuda,Canada,25 runs,King City (NW),"Aug 18, 2008",ODI # 2744
84,Sri Lanka,India,India,3 wickets,Dambulla,"Aug 20, 2008",ODI # 2745
85,Bermuda,West Indies,West Indies,6 wickets,King City (NW),"Aug 20, 2008",ODI # 2746
86,Netherlands,Kenya,Netherlands,6 wickets,Rotterdam,"Aug 21, 2008",ODI # 2747
87,England,South Africa,England,20 runs,Leeds,"Aug 22, 2008",ODI # 2748
88,Canada,West Indies,West Indies,49 runs,King City (NW),"Aug 22, 2008",ODI # 2749
89,Sri Lanka,India,India,33 runs,Colombo (RPS),"Aug 24, 2008",ODI # 2750
90,Ireland,Kenya,Ireland,33 runs,Belfast,"Aug 24, 2008",ODI # 2751
91,Canada,West Indies,West Indies,7 wickets,King City (NW),"Aug 24, 2008",ODI # 2752
92,Ireland,Kenya,no result,,Belfast,"Aug 25, 2008",ODI # 2753
93,England,South Africa,England,10 wickets,Nottingham,"Aug 26, 2008",ODI # 2754
94,Sri Lanka,India,India,46 runs,Colombo (RPS),"Aug 27, 2008",ODI # 2755
95,Sri Lanka,India,Sri Lanka,112 runs,Colombo (RPS),"Aug 29, 2008",ODI # 2756
96,England,South Africa,England,126 runs,The Oval,"Aug 29, 2008",ODI # 2757
97,Australia,Bangladesh,Australia,180 runs,Darwin,"Aug 30, 2008",ODI # 2758
98,England,South Africa,England,7 wickets,Lord's,"Aug 31, 2008",ODI # 2759
99,Australia,Bangladesh,Australia,8 wickets,Darwin,"Sep 3, 2008",ODI # 2760
100,England,South Africa,no result,,Cardiff,"Sep 3, 2008",ODI # 2761
101,Australia,Bangladesh,Australia,73 runs,Darwin,"Sep 6, 2008",ODI # 2762
102,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,"Oct 9, 2008",ODI # 2763
103,Bangladesh,New Zealand,New Zealand,75 runs,Dhaka,"Oct 11, 2008",ODI # 2764
104,Bangladesh,New Zealand,New Zealand,79 runs,Chittagong,"Oct 14, 2008",ODI # 2765
105,Ireland,Zimbabwe,Zimbabwe,156 runs,Nairobi (Gym),"Oct 17, 2008",ODI # 2766
106,Kenya,Ireland,Ireland,86 runs,Nairobi (Gym),"Oct 18, 2008",ODI # 2767
107,Kenya,Zimbabwe,Kenya,95 runs,Nairobi (Gym),"Oct 19, 2008",ODI # 2768
108,South Africa,Kenya,South Africa,159 runs,Bloemfontein,"Oct 31, 2008",ODI # 2769
109,South Africa,Kenya,South Africa,7 wickets,Kimberley,"Nov 2, 2008",ODI # 2770
110,South Africa,Bangladesh,South Africa,61 runs,Potchefstroom,"Nov 7, 2008",ODI # 2771
111,South Africa,Bangladesh,South Africa,128 runs,Benoni,"Nov 9, 2008",ODI # 2772
112,Pakistan,West Indies,Pakistan,4 wickets,Abu Dhabi,"Nov 12, 2008",ODI # 2773
113,India,England,India,158 runs,Rajkot,"Nov 14, 2008",ODI # 2774
114,Pakistan,West Indies,Pakistan,24 runs,Abu Dhabi,"Nov 14, 2008",ODI # 2775
115,Pakistan,West Indies,Pakistan,31 runs,Abu Dhabi,"Nov 16, 2008",ODI # 2776
116,India,England,India,54 runs,Indore,"Nov 17, 2008",ODI # 2777
117,India,England,India,16 runs,Kanpur,"Nov 20, 2008",ODI # 2778
118,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Harare,"Nov 20, 2008",ODI # 2779
119,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Nov 22, 2008",ODI # 2780
120,India,England,India,19 runs,Bengaluru,"Nov 23, 2008",ODI # 2781
121,Zimbabwe,Sri Lanka,Sri Lanka,5 runs,Harare,"Nov 24, 2008",ODI # 2782
122,India,England,India,6 wickets,Cuttack,"Nov 26, 2008",ODI # 2783
123,Zimbabwe,Sri Lanka,Sri Lanka,2 wickets,Harare,"Nov 28, 2008",ODI # 2784
124,Zimbabwe,Sri Lanka,Sri Lanka,19 runs,Harare,"Nov 30, 2008",ODI # 2785
125,New Zealand,West Indies,no result,,Queenstown,"Dec 31, 2008",ODI # 2786
